ID,X,Y
reactions_11,"{'reactant': '[Cl:1][CH2:2][CH2:3][CH2:4][C:5]([C:7]1[CH:12]=[CH:11][C:10]([C:13]([CH3:18])([CH3:17])[C:14]([OH:16])=[O:15])=[CH:9][CH:8]=1)=[O:6].[CH3:19]O', 'catalyst': 'Cl', 'product': '[Cl:1][CH2:2][CH2:3][CH2:4][C:5]([C:7]1[CH:12]=[CH:11][C:10]([C:13]([CH3:18])([CH3:17])[C:14]([O:16][CH3:19])=[O:15])=[CH:9][CH:8]=1)=[O:6]'}",94%
reactions_12,"{'reactant': '[Cl:1][CH2:2][CH2:3][CH2:4][C:5]([C:7]1[CH:12]=[CH:11][C:10]([C:13]([CH3:18])([CH3:17])[C:14]([OH:16])=[O:15])=[CH:9][CH:8]=1)=[O:6].[C:19](=O)([O-])[O-].[K+].[K+].S(OC)(OC)(=O)=O', 'catalyst': 'C(#N)C', 'product': '[Cl:1][CH2:2][CH2:3][CH2:4][C:5]([C:7]1[CH:12]=[CH:11][C:10]([C:13]([CH3:18])([CH3:17])[C:14]([O:16][CH3:19])=[O:15])=[CH:9][CH:8]=1)=[O:6]'}",89%
reactions_13,"{'reactant': '[Mg].[C:2](=[O:4])=[O:3].Cl.Br[C:7]([C:10]1[CH:15]=[CH:14][C:13]([C:16](=[O:21])[CH2:17][CH2:18][CH2:19][Cl:20])=[CH:12][CH:11]=1)([CH3:9])[CH3:8].ClC(C1C=CC(C(=O)CCCCl)=CC=1)(C)C', 'catalyst': 'C(#N)C.[Br-].C([N+](CC)(CC)CC)C.[Ag]', 'product': '[Cl:20][CH2:19][CH2:18][CH2:17][C:16]([C:13]1[CH:12]=[CH:11][C:10]([C:7]([CH3:9])([CH3:8])[C:2]([OH:4])=[O:3])=[CH:15][CH:14]=1)=[O:21]'}",66%
reactions_14,"{'reactant': '[Mg].[C:2](=[O:4])=[O:3].Cl[C:6]([C:9]1[CH:14]=[CH:13][C:12]([C:15](=[O:20])[CH2:16][CH2:17][CH2:18][Cl:19])=[CH:11][CH:10]=1)([CH3:8])[CH3:7].Cl', 'catalyst': '[Cl-].C([N+](CC)(CC)CC)C.CN(C)C=O.[Ag]', 'product': '[Cl:19][CH2:18][CH2:17][CH2:16][C:15]([C:12]1[CH:11]=[CH:10][C:9]([C:6]([CH3:8])([CH3:7])[C:2]([OH:4])=[O:3])=[CH:14][CH:13]=1)=[O:20]'}",72%
reactions_15,"{'reactant': '[CH:1]1([C:4]([C:6]2[CH:11]=[CH:10][C:9]([C:12]([CH3:20])(C)[C:13](N(C)OC)=O)=[CH:8][CH:7]=2)=[O:5])[CH2:3][CH2:2]1.[BrH:21].[C:22](=[O:25])([O-])[OH:23].[Na+]', 'catalyst': 'O', 'product': '[Br:21][CH2:3][CH2:2][CH2:1][C:4]([C:6]1[CH:11]=[CH:10][C:9]([C:12]([CH3:20])([CH3:13])[C:22]([OH:23])=[O:25])=[CH:8][CH:7]=1)=[O:5]'}",95%
reactions_16,"{'reactant': '[Cl:1][CH2:2][CH2:3][CH2:4][C:5]([C:7]1[CH:12]=[CH:11][C:10]([C:13]([CH3:20])([CH3:19])[C:14]([O:16][CH2:17][CH3:18])=[O:15])=[CH:9][CH:8]=1)=[O:6].[C:21]1([C:27]([C:35]2[CH:40]=[CH:39][CH:38]=[CH:37][CH:36]=2)([CH:29]2[CH2:34][CH2:33][NH:32][CH2:31][CH2:30]2)[OH:28])[CH:26]=[CH:25][CH:24]=[CH:23][CH:22]=1.Cl', 'catalyst': 'C1(C)C(C)=CC=CC=1', 'product': '[ClH:1].[OH:28][C:27]([C:35]1[CH:40]=[CH:39][CH:38]=[CH:37][CH:36]=1)([C:21]1[CH:22]=[CH:23][CH:24]=[CH:25][CH:26]=1)[CH:29]1[CH2:34][CH2:33][N:32]([CH2:2][CH2:3][CH2:4][C:5]([C:7]2[CH:12]=[CH:11][C:10]([C:13]([CH3:20])([CH3:19])[C:14]([O:16][CH2:17][CH3:18])=[O:15])=[CH:9][CH:8]=2)=[O:6])[CH2:31][CH2:30]1'}",70%
reactions_17,"{'reactant': '[Cl:1][CH2:2][CH2:3][CH2:4][C:5]([C:7]1[CH:12]=[CH:11][C:10]([C:13]([CH3:19])([CH3:18])[C:14]([O:16][CH3:17])=[O:15])=[CH:9][CH:8]=1)=[O:6].[C:20]1([C:26]([C:34]2[CH:39]=[CH:38][CH:37]=[CH:36][CH:35]=2)([CH:28]2[CH2:33][CH2:32][NH:31][CH2:30][CH2:29]2)[OH:27])[CH:25]=[CH:24][CH:23]=[CH:22][CH:21]=1', 'catalyst': 'C1(C)C=CC=CC=1', 'product': '[ClH:1].[OH:27][C:26]([C:34]1[CH:39]=[CH:38][CH:37]=[CH:36][CH:35]=1)([C:20]1[CH:21]=[CH:22][CH:23]=[CH:24][CH:25]=1)[CH:28]1[CH2:33][CH2:32][N:31]([CH2:2][CH2:3][CH2:4][C:5]([C:7]2[CH:12]=[CH:11][C:10]([C:13]([CH3:19])([CH3:18])[C:14]([O:16][CH3:17])=[O:15])=[CH:9][CH:8]=2)=[O:6])[CH2:30][CH2:29]1'}",76%
reactions_18,"{'reactant': '[ClH:1].[OH:2][C:3]([C:34]1[CH:39]=[CH:38][CH:37]=[CH:36][CH:35]=1)([C:28]1[CH:33]=[CH:32][CH:31]=[CH:30][CH:29]=1)[CH:4]1[CH2:9][CH2:8][N:7]([CH2:10][CH2:11][CH2:12][C:13]([C:15]2[CH:20]=[CH:19][C:18]([C:21]([CH3:27])([CH3:26])[C:22]([O:24][CH3:25])=[O:23])=[CH:17][CH:16]=2)=[O:14])[CH2:6][CH2:5]1.[BH4-].[Na+].[OH-].[Na+].Cl', 'catalyst': 'CO', 'product': '[ClH:1].[OH:2][C:3]([C:28]1[CH:33]=[CH:32][CH:31]=[CH:30][CH:29]=1)([C:34]1[CH:39]=[CH:38][CH:37]=[CH:36][CH:35]=1)[CH:4]1[CH2:9][CH2:8][N:7]([CH2:10][CH2:11][CH2:12][CH:13]([C:15]2[CH:20]=[CH:19][C:18]([C:21]([CH3:27])([CH3:26])[C:22]([O:24][CH3:25])=[O:23])=[CH:17][CH:16]=2)[OH:14])[CH2:6][CH2:5]1'}",94%
reactions_19,"{'reactant': '[O:1]=[C:2]([C:26]1[CH:31]=[CH:30][C:29]([C:32]([CH3:36])([CH3:35])[CH2:33][OH:34])=[CH:28][CH:27]=1)[CH2:3][CH2:4][CH2:5][N:6]1[CH2:11][CH2:10][CH:9]([C:12]([OH:25])([C:19]2[CH:24]=[CH:23][CH:22]=[CH:21][CH:20]=2)[C:13]2[CH:18]=[CH:17][CH:16]=[CH:15][CH:14]=2)[CH2:8][CH2:7]1.[BH4-].[Na+].Cl', 'catalyst': 'CO.O', 'product': '[OH:1][CH:2]([C:26]1[CH:27]=[CH:28][C:29]([C:32]([CH3:36])([CH3:35])[CH2:33][OH:34])=[CH:30][CH:31]=1)[CH2:3][CH2:4][CH2:5][N:6]1[CH2:11][CH2:10][CH:9]([C:12]([OH:25])([C:13]2[CH:14]=[CH:15][CH:16]=[CH:17][CH:18]=2)[C:19]2[CH:24]=[CH:23][CH:22]=[CH:21][CH:20]=2)[CH2:8][CH2:7]1'}",79%
reactions_20,"{'reactant': '[F:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([NH2:8])=O)=[CH:4][CH:3]=1.COC1C=CC(P2(SP(C3C=CC(OC)=CC=3)(=S)S2)=[S:20])=CC=1', 'catalyst': 'C1C=CC=CC=1', 'product': '[F:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([NH2:8])=[S:20])=[CH:4][CH:3]=1'}",71%
reactions_21,"{'reactant': '[F:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([NH2:8])=[S:7])=[CH:4][CH:3]=1.Br[CH2:12][C:13]([C:15]1[CH:20]=[CH:19][C:18]([CH3:21])=[CH:17][CH:16]=1)=O', 'catalyst': 'CCO', 'product': '[F:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]2[S:7][CH:12]=[C:13]([C:15]3[CH:20]=[CH:19][C:18]([CH3:21])=[CH:17][CH:16]=3)[N:8]=2)=[CH:4][CH:3]=1'}",54%
reactions_22,"{'reactant': '[F:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([NH2:8])=[S:7])=[CH:4][CH:3]=1.Br[CH2:12][C:13]([C:15]1[CH:20]=[CH:19][C:18]([Br:21])=[CH:17][CH:16]=1)=O', 'catalyst': 'CCO', 'product': '[F:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]2[S:7][CH:12]=[C:13]([C:15]3[CH:20]=[CH:19][C:18]([Br:21])=[CH:17][CH:16]=3)[N:8]=2)=[CH:4][CH:3]=1'}",93%
reactions_23,"{'reactant': '[F:1][C:2]1[CH:7]=[CH:6][C:5]([C:8]2[S:9][CH:10]=[C:11]([C:13]3[CH:18]=[CH:17][C:16]([C:19]#[C:20][CH2:21][N:22]([CH3:24])[CH3:23])=[CH:15][CH:14]=3)[N:12]=2)=[CH:4][CH:3]=1', 'catalyst': '[Pd].CCO', 'product': '[F:1][C:2]1[CH:3]=[CH:4][C:5]([C:8]2[S:9][CH:10]=[C:11]([C:13]3[CH:18]=[CH:17][C:16]([CH2:19][CH2:20][CH2:21][N:22]([CH3:24])[CH3:23])=[CH:15][CH:14]=3)[N:12]=2)=[CH:6][CH:7]=1'}",89%
reactions_24,"{'reactant': '[C:1]1([CH3:9])[CH:6]=[CH:5][C:4]([C:7]#[N:8])=[CH:3][CH:2]=1.C(Cl)(Cl)[Cl:11].C[OH:15]', 'catalyst': '', 'product': '[ClH:11].[CH3:9][C:1]1[CH:6]=[CH:5][C:4]([C:7](=[NH:8])[OH:15])=[CH:3][CH:2]=1'}",99%
reactions_25,"{'reactant': '[ClH:1].[CH3:2][C:3]1[CH:11]=[CH:10][C:6]([C:7](=[NH:9])O)=[CH:5][CH:4]=1.[NH3:12].CO.[Cl-].[NH4+].CCO', 'catalyst': 'CO', 'product': '[ClH:1].[CH3:2][C:3]1[CH:11]=[CH:10][C:6]([C:7]([NH2:12])=[NH:9])=[CH:5][CH:4]=1'}",97%
reactions_26,"{'reactant': 'Cl.[CH3:2][C:3]1[CH:11]=[CH:10][C:6]([C:7]([NH2:9])=[NH:8])=[CH:5][CH:4]=1.C(N(CC)CC)C.[Cl:19][C:20]([SH:23])(Cl)Cl', 'catalyst': 'C(Cl)(Cl)Cl', 'product': '[C:3]1([CH3:2])[CH:11]=[CH:10][C:6]([C:7]2[N:9]=[C:20]([Cl:19])[S:23][N:8]=2)=[CH:5][CH:4]=1'}",44%
reactions_27,"{'reactant': '[C:1]1([CH3:13])[CH:6]=[CH:5][C:4]([C:7]2[N:11]=[C:10](Cl)[S:9][N:8]=2)=[CH:3][CH:2]=1.[F:14][C:15]1[CH:20]=[CH:19][C:18]([Mg]Br)=[CH:17][CH:16]=1.O=O', 'catalyst': 'Cl[Ni]1(Cl)[P](C2C=CC=CC=2)(C2C=CC=CC=2)CCC[P]1(C1C=CC=CC=1)C1C=CC=CC=1.C1COCC1', 'product': '[F:14][C:15]1[CH:20]=[CH:19][C:18]([C:10]2[S:9][N:8]=[C:7]([C:4]3[CH:5]=[CH:6][C:1]([CH3:13])=[CH:2][CH:3]=3)[N:11]=2)=[CH:17][CH:16]=1'}",31%
reactions_28,"{'reactant': '[CH3:1][C:2]1[O:3][C:4]([CH3:12])=[CH:5][C:6]=1[C:7]([O:9]CC)=[O:8].[OH-].[Na+]', 'catalyst': 'C(O)C', 'product': '[CH3:1][C:2]1[O:3][C:4]([CH3:12])=[CH:5][C:6]=1[C:7]([OH:9])=[O:8]'}",85%
reactions_29,"{'reactant': '[F:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([NH2:8])=O)=[CH:4][CH:3]=1.COC1C=CC(P2(SP(C3C=CC(OC)=CC=3)(=S)S2)=[S:20])=CC=1', 'catalyst': 'C1C=CC=CC=1', 'product': '[F:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([NH2:8])=[S:20])=[CH:4][CH:3]=1'}",71%
reactions_30,"{'reactant': '[F:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([NH2:8])=[S:7])=[CH:4][CH:3]=1.Br[CH2:12][C:13]([C:15]1[CH:20]=[CH:19][C:18]([CH3:21])=[CH:17][CH:16]=1)=O', 'catalyst': 'CCO', 'product': '[F:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]2[S:7][CH:12]=[C:13]([C:15]3[CH:20]=[CH:19][C:18]([CH3:21])=[CH:17][CH:16]=3)[N:8]=2)=[CH:4][CH:3]=1'}",54%
reactions_31,"{'reactant': '[F:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([NH2:8])=[S:7])=[CH:4][CH:3]=1.Br[CH2:12][C:13]([C:15]1[CH:20]=[CH:19][C:18]([Br:21])=[CH:17][CH:16]=1)=O', 'catalyst': 'CCO', 'product': '[F:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]2[S:7][CH:12]=[C:13]([C:15]3[CH:20]=[CH:19][C:18]([Br:21])=[CH:17][CH:16]=3)[N:8]=2)=[CH:4][CH:3]=1'}",93%
reactions_32,"{'reactant': '[F:1][C:2]1[CH:7]=[CH:6][C:5]([C:8]2[S:9][CH:10]=[C:11]([C:13]3[CH:18]=[CH:17][C:16]([C:19]#[C:20][CH2:21][N:22]([CH3:24])[CH3:23])=[CH:15][CH:14]=3)[N:12]=2)=[CH:4][CH:3]=1', 'catalyst': '[Pd].CCO', 'product': '[F:1][C:2]1[CH:3]=[CH:4][C:5]([C:8]2[S:9][CH:10]=[C:11]([C:13]3[CH:18]=[CH:17][C:16]([CH2:19][CH2:20][CH2:21][N:22]([CH3:24])[CH3:23])=[CH:15][CH:14]=3)[N:12]=2)=[CH:6][CH:7]=1'}",89%
reactions_33,"{'reactant': '[C:1]1([CH3:9])[CH:6]=[CH:5][C:4]([C:7]#[N:8])=[CH:3][CH:2]=1.C(Cl)(Cl)[Cl:11].C[OH:15]', 'catalyst': '', 'product': '[ClH:11].[CH3:9][C:1]1[CH:6]=[CH:5][C:4]([C:7](=[NH:8])[OH:15])=[CH:3][CH:2]=1'}",99%
reactions_34,"{'reactant': '[ClH:1].[CH3:2][C:3]1[CH:11]=[CH:10][C:6]([C:7](=[NH:9])O)=[CH:5][CH:4]=1.[NH3:12].CO.[Cl-].[NH4+].CCO', 'catalyst': 'CO', 'product': '[ClH:1].[CH3:2][C:3]1[CH:11]=[CH:10][C:6]([C:7]([NH2:12])=[NH:9])=[CH:5][CH:4]=1'}",97%
reactions_35,"{'reactant': 'Cl.[CH3:2][C:3]1[CH:11]=[CH:10][C:6]([C:7]([NH2:9])=[NH:8])=[CH:5][CH:4]=1.C(N(CC)CC)C.[Cl:19][C:20]([SH:23])(Cl)Cl', 'catalyst': 'C(Cl)(Cl)Cl', 'product': '[C:3]1([CH3:2])[CH:11]=[CH:10][C:6]([C:7]2[N:9]=[C:20]([Cl:19])[S:23][N:8]=2)=[CH:5][CH:4]=1'}",44%
reactions_36,"{'reactant': '[C:1]1([CH3:13])[CH:6]=[CH:5][C:4]([C:7]2[N:11]=[C:10](Cl)[S:9][N:8]=2)=[CH:3][CH:2]=1.[F:14][C:15]1[CH:20]=[CH:19][C:18]([Mg]Br)=[CH:17][CH:16]=1.O=O', 'catalyst': 'Cl[Ni]1(Cl)[P](C2C=CC=CC=2)(C2C=CC=CC=2)CCC[P]1(C1C=CC=CC=1)C1C=CC=CC=1.C1COCC1', 'product': '[F:14][C:15]1[CH:20]=[CH:19][C:18]([C:10]2[S:9][N:8]=[C:7]([C:4]3[CH:5]=[CH:6][C:1]([CH3:13])=[CH:2][CH:3]=3)[N:11]=2)=[CH:17][CH:16]=1'}",31%
reactions_37,"{'reactant': '[F:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([NH2:8])=O)=[CH:4][CH:3]=1.COC1C=CC(P2(SP(C3C=CC(OC)=CC=3)(=S)S2)=[S:20])=CC=1', 'catalyst': 'C1C=CC=CC=1', 'product': '[F:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([NH2:8])=[S:20])=[CH:4][CH:3]=1'}",71%
reactions_38,"{'reactant': '[F:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([NH2:8])=[S:7])=[CH:4][CH:3]=1.Br[CH2:12][C:13]([C:15]1[CH:20]=[CH:19][C:18]([CH3:21])=[CH:17][CH:16]=1)=O', 'catalyst': 'CCO', 'product': '[F:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]2[S:7][CH:12]=[C:13]([C:15]3[CH:20]=[CH:19][C:18]([CH3:21])=[CH:17][CH:16]=3)[N:8]=2)=[CH:4][CH:3]=1'}",54%
reactions_39,"{'reactant': '[F:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([NH2:8])=[S:7])=[CH:4][CH:3]=1.Br[CH2:12][C:13]([C:15]1[CH:20]=[CH:19][C:18]([Br:21])=[CH:17][CH:16]=1)=O', 'catalyst': 'CCO', 'product': '[F:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]2[S:7][CH:12]=[C:13]([C:15]3[CH:20]=[CH:19][C:18]([Br:21])=[CH:17][CH:16]=3)[N:8]=2)=[CH:4][CH:3]=1'}",93%
reactions_40,"{'reactant': '[F:1][C:2]1[CH:7]=[CH:6][C:5]([C:8]2[S:9][CH:10]=[C:11]([C:13]3[CH:18]=[CH:17][C:16]([C:19]#[C:20][CH2:21][N:22]([CH3:24])[CH3:23])=[CH:15][CH:14]=3)[N:12]=2)=[CH:4][CH:3]=1', 'catalyst': '[Pd].CCO', 'product': '[F:1][C:2]1[CH:3]=[CH:4][C:5]([C:8]2[S:9][CH:10]=[C:11]([C:13]3[CH:18]=[CH:17][C:16]([CH2:19][CH2:20][CH2:21][N:22]([CH3:24])[CH3:23])=[CH:15][CH:14]=3)[N:12]=2)=[CH:6][CH:7]=1'}",89%
reactions_41,"{'reactant': '[C:1]1([CH3:9])[CH:6]=[CH:5][C:4]([C:7]#[N:8])=[CH:3][CH:2]=1.C(Cl)(Cl)[Cl:11].C[OH:15]', 'catalyst': '', 'product': '[ClH:11].[CH3:9][C:1]1[CH:6]=[CH:5][C:4]([C:7](=[NH:8])[OH:15])=[CH:3][CH:2]=1'}",99%
reactions_42,"{'reactant': '[ClH:1].[CH3:2][C:3]1[CH:11]=[CH:10][C:6]([C:7](=[NH:9])O)=[CH:5][CH:4]=1.[NH3:12].CO.[Cl-].[NH4+].CCO', 'catalyst': 'CO', 'product': '[ClH:1].[CH3:2][C:3]1[CH:11]=[CH:10][C:6]([C:7]([NH2:12])=[NH:9])=[CH:5][CH:4]=1'}",97%
reactions_43,"{'reactant': 'Cl.[CH3:2][C:3]1[CH:11]=[CH:10][C:6]([C:7]([NH2:9])=[NH:8])=[CH:5][CH:4]=1.C(N(CC)CC)C.[Cl:19][C:20]([SH:23])(Cl)Cl', 'catalyst': 'C(Cl)(Cl)Cl', 'product': '[C:3]1([CH3:2])[CH:11]=[CH:10][C:6]([C:7]2[N:9]=[C:20]([Cl:19])[S:23][N:8]=2)=[CH:5][CH:4]=1'}",44%
reactions_44,"{'reactant': '[C:1]1([CH3:13])[CH:6]=[CH:5][C:4]([C:7]2[N:11]=[C:10](Cl)[S:9][N:8]=2)=[CH:3][CH:2]=1.[F:14][C:15]1[CH:20]=[CH:19][C:18]([Mg]Br)=[CH:17][CH:16]=1.O=O', 'catalyst': 'Cl[Ni]1(Cl)[P](C2C=CC=CC=2)(C2C=CC=CC=2)CCC[P]1(C1C=CC=CC=1)C1C=CC=CC=1.C1COCC1', 'product': '[F:14][C:15]1[CH:20]=[CH:19][C:18]([C:10]2[S:9][N:8]=[C:7]([C:4]3[CH:5]=[CH:6][C:1]([CH3:13])=[CH:2][CH:3]=3)[N:11]=2)=[CH:17][CH:16]=1'}",31%
reactions_45,"{'reactant': '[CH3:1][CH2:2][CH2:3][CH2:4][N:5]1[C@H:10]([C:11]([NH:13][C:14]2[C:19]([CH3:20])=[CH:18][CH:17]=[CH:16][C:15]=2[CH3:21])=[O:12])[CH2:9][CH2:8][CH2:7][CH2:6]1.C(O)CO', 'catalyst': 'O', 'product': '[CH3:1][CH2:2][CH2:3][CH2:4][N:5]1[CH:10]([C:11]([NH:13][C:14]2[C:19]([CH3:20])=[CH:18][CH:17]=[CH:16][C:15]=2[CH3:21])=[O:12])[CH2:9][CH2:8][CH2:7][CH2:6]1'}",100%
reactions_46,"{'reactant': '[C:1]([N:8]1[CH:12]=[CH:11][N:10]=[CH:9]1)(N1C=CN=C1)=[O:2].C([CH:16]1[C:29](=[O:30])[C:28]2[C:19](=[C:20]3[C:25](=[CH:26][CH:27]=2)[CH:24]=[CH:23][CH:22]=[N:21]3)[N:18]=[CH:17]1)(O)=O', 'catalyst': 'CN(C=O)C', 'product': '[N:8]1([C:1]([CH:16]2[C:29](=[O:30])[C:28]3[C:19](=[C:20]4[C:25](=[CH:26][CH:27]=3)[CH:24]=[CH:23][CH:22]=[N:21]4)[N:18]=[CH:17]2)=[O:2])[CH:12]=[CH:11][N:10]=[CH:9]1'}",92%
reactions_47,"{'reactant': '[NH2:1][C:2]1[CH:3]=[CH:4][CH:5]=[C:6]2[C:11]=1[N:10]=[CH:9][CH:8]=[CH:7]2.C(O[CH:15]=[C:16]([C:22]([O:24][CH2:25][CH3:26])=[O:23])[C:17]([O:19]CC)=O)C.C1(OC2C=CC=CC=2)C=CC=CC=1', 'catalyst': 'C(O)C.CCCCCC', 'product': '[CH2:25]([O:24][C:22]([CH:16]1[C:17](=[O:19])[C:3]2[C:2](=[C:11]3[C:6](=[CH:5][CH:4]=2)[CH:7]=[CH:8][CH:9]=[N:10]3)[N:1]=[CH:15]1)=[O:23])[CH3:26]'}",84%
